2025-08-28T15:59:50.321Z||EGAPxut0X8zGqDR6||CONF||[{"BootInfo":{"region":"use-1","platform":{"cloud":"aws"}},"AppNodeConfig":{"version":"1.2.3","program":"1.2.2-1231321.jar","github":{"repository":"RepoOwner/steplogs-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"internalIp":"12.2.2.2","externalIp":"12.2.2.2","hostId":"node-123.test.test","httpHeaderIdType":1,"applicationName":"steplogs-logging-integration-java-spring-example"},"LoggerConfig":{"fileName":"./logs/steplogs-logging-integration-java-spring-example","logLight":false,"logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"logVersion":null,"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*Service*.java*.service.*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/LoggingHttpHeaderHandlerInterceptor.java#io.steplogs.logger.spring.LoggingHttpHeaderHandlerInterceptor#preHandle*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-08-28 15:59:56.876|scheduling-1|7Yeq3qEzvLhnBTJ2p9KOoQ3erGDBloxb|1|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#runMailRunnable#23#|[]
2025-08-28 15:59:56.877|scheduling-1|7Yeq3qEzvLhnBTJ2p9KOoQ3erGDBloxb|2|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#runMailRunnable#23#R|[null]
2025-08-28 15:59:57.940|http-nio-80-exec-1|1qRNxpRQHWCzAQgkLKh0Uyz3S9PmSnBb|1|HTTP|LoggingHttpHeaderHandlerInterceptor.java#io.steplogs.logger.spring.LoggingHttpHeaderHandlerInterceptor#preHandle#66|[{"remoteHost":"0:0:0:0:0:0:0:1"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"httpHeaders":{}},{"httpBody":{"name":["br***ng"],"driverLisenceId":["******"],"age":["1001"]}}]
2025-08-28 15:59:58.043|http-nio-80-exec-1|1qRNxpRQHWCzAQgkLKh0Uyz3S9PmSnBb|2|JSON|ForStaticMethod.java#io.steplogs.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":0}]
2025-08-28 15:59:58.044|http-nio-80-exec-1|1qRNxpRQHWCzAQgkLKh0Uyz3S9PmSnBb|3|JSON|ForStaticMethod.java#io.steplogs.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-08-28 15:59:58.058|http-nio-80-exec-1|1qRNxpRQHWCzAQgkLKh0Uyz3S9PmSnBb|4|JSON|UserService.java#io.steplogs.example.web.service.rpc.UserService#save#0#|[{"user":{"name":"br***ng","id":0,"age":1001,"driverLisenceId":"******"}}]
2025-08-28 15:59:58.370|http-nio-80-exec-2|3jpxwtmwOJ51IGR6lBxd8A3Qt2jk5Lg8|1|HTTP|LoggingHttpHeaderHandlerInterceptor.java#io.steplogs.logger.spring.LoggingHttpHeaderHandlerInterceptor#preHandle#66|[{"remoteHost":"0:0:0:0:0:0:0:1"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/save"},{"httpHeaders":{}},{"httpBody":{"id":["123"],"deceases":["unkown"]}}]
2025-08-28 15:59:58.717|http-nio-80-exec-1|1qRNxpRQHWCzAQgkLKh0Uyz3S9PmSnBb|5|JSON|UserService.java#io.steplogs.example.web.service.rpc.UserService#save#0#R|[{"name":"br***ng","id":789,"age":1001,"driverLisenceId":"******"}]
2025-08-28 15:59:58.717|http-nio-80-exec-1|1qRNxpRQHWCzAQgkLKh0Uyz3S9PmSnBb|6|JSON|ForStaticMethod.java#io.steplogs.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":789}]
2025-08-28 15:59:58.717|http-nio-80-exec-1|1qRNxpRQHWCzAQgkLKh0Uyz3S9PmSnBb|7|JSON|ForStaticMethod.java#io.steplogs.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
